ticker,ticker_root,name,share_class_shares_outstanding,weighted_shares_outstanding,primary_exchange,cik,composite_figi,sic_code,sic_description,list_date,total_employees,market,description,active,address,branding,currency_name,homepage_url,locale,market_cap,phone_number,round_lot,share_class_figi,type,ticker_suffix
MMM,MMM,3M Company,552740000,552742915,XNYS,0000066740,BBG000BP52R2,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1946-01-14,95000,stocks,"3M is a multinational conglomerate that has operated since 1902, when it was known as Minnesota Mining and Manufacturing. The company is well known for its research and development laboratory and it leverages its science and technology across multiple product categories. As of 2020, 3M is organized into four business segments: safety and industrial, transportation and electronics, healthcare, and consumer. Nearly 50% of the company's revenue comes from outside the Americas, with the safety and industrial segment constituting a plurality of net sales. Many of the company's 60,000-plus products touch and concern a variety of consumers and end markets.",True,"{'address1': '3M CENTER', 'address2': 'BLDG. 220-13E-26A', 'city': 'ST PAUL', 'state': 'MN', 'postal_code': '55144-1000'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LjNtLmNvbQ/images/2022-01-10_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LjNtLmNvbQ/images/2022-01-10_icon.jpeg'}",usd,https://www.3m.com,us,71325945751.59999,(651) 733-1474,100,BBG001S5T7X2,CS,
AOS,AOS,A.O. Smith Corporation,126870000,152775527,XNYS,0000091142,BBG000BC1L02,3630,HOUSEHOLD APPLIANCES,1984-09-07,13700,stocks,"A.O. Smith Corporation manufactures and markets comprehensive lines of residential and commercial gas, gas tankless, and electric water heaters. Supplementary products include water heating equipment, condensing and noncondensing boilers, and water system tanks. The company's two operating segments are by geographic region: North America (majority of total revenue) and the Rest of the World. A material portion of sales in North America derive from replacing existing products, and the company utilizes a wholesale distribution channel and multiple selling locations. The Rest of the World segment sells primarily to Asian countries and operates sales offices to expand distribution and market its product portfolio.",True,"{'address1': '11270 WEST PARK PLACE', 'city': 'MILWAUKEE', 'state': 'WI', 'postal_code': '53224'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFvc21pdGguY29t/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFvc21pdGguY29t/images/2022-11-01_icon.jpeg'}",usd,https://www.aosmith.com,us,9450694100.22,(414) 359-4000,100,BBG001S5NRY3,CS,
ABT,ABT,Abbott Laboratories,1743570000,1743573777,XNYS,0000001800,BBG000B9ZXB4,2834,PHARMACEUTICAL PREPARATIONS,1949-04-19,113000,stocks,"Abbott manufactures and markets medical devices, adult and pediatric nutritional products, diagnostic equipment and testing kits, and branded generic drugs. Products include pacemakers, implantable cardioverter defibrillators, neuromodulation devices, coronary stents, catheters, infant formula, nutritional liquids for adults, molecular diagnostic platforms, and immunoassays and point-of-care diagnostic equipment. Abbott derives approximately 60% of sales outside the United States.",True,"{'address1': '100 ABBOTT PARK ROAD', 'city': 'ABBOTT PARK', 'state': 'IL', 'postal_code': '60064-3500'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFiYm90dGludmVzdG9yLmNvbQ/images/2022-11-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFiYm90dGludmVzdG9yLmNvbQ/images/2022-11-01_icon.png'}",usd,https://www.abbottinvestor.com,us,186492651187.91998,(224) 667-6100,100,BBG001S5N9M6,CS,
ABBV,ABBV,ABBVIE INC.,1768480000,1768480508,XNYS,0001551152,BBG0025Y4RY4,2834,PHARMACEUTICAL PREPARATIONS,2012-12-10,50000,stocks,"AbbVie is a pharmaceutical company with a strong exposure to immunology and oncology. The firm's top drug, Humira, represents close to half of the company's current profits. The company was spun off from Abbott in early 2013. The recent acquisition of Allergan adds several new drugs in aesthetics and women's health.",True,"{'address1': '1 NORTH WAUKEGAN ROAD', 'city': 'NORTH CHICAGO', 'state': 'IL', 'postal_code': '60064'}",{'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFiYnZpZWludmVzdG9yLmNvbQ/images/2022-11-01_icon.jpeg'},usd,http://www.abbvieinvestor.com,us,282284858686.96,(847) 932-7900,100,BBG0025Y4RZ3,CS,
ABMD,ABMD,Abiomed Inc,45090000,45091184,XNAS,0000815094,BBG000C101X4,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,1987-07-30,2003,stocks,"Abiomed Inc provides temporary mechanical circulatory support devices that are primarily used by interventional cardiologists and heart surgeons. The firm's products are used for patients in need of hemodynamic support before, during, or after angioplasty and heart surgery procedures. Abiomed receives the majority of revenue from its Impella product portfolio, which includes percutaneous micro heart pumps with integration motors and sensors and percutaneous catheter-based axial flow pumps. Abiomed generates the majority of its revenue in the United States.",True,"{'address1': '22 CHERRY HILL DR', 'city': 'DANVERS', 'state': 'MA', 'postal_code': '01923'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFiaW9tZWQuY29t/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFiaW9tZWQuY29t/images/2022-11-01_icon.jpeg'}",usd,https://www.abiomed.com,us,17048074846.72,(978) 777-5410,100,BBG001S64SQ9,CS,
ACN,ACN,Accenture PLC,664780000,630079960,XNYS,0001467373,,7389,"SERVICES-BUSINESS SERVICES, NEC",2001-07-19,721000,stocks,"Accenture is a leading global IT-services firm that provides consulting, strategy, and technology and operational services. These services run the gamut from aiding enterprises with digital transformation to procurement services to software system integration. The company provides its IT offerings to a variety of sectors, including communications, media and technology, financial services, health and public services, consumer products, and resources. Accenture employs just under 500,000 people throughout 200 cities in 51 countries.",True,"{'address1': '1 GRAND CANAL SQUARE', 'address2': 'GRAND CANAL HARBOUR', 'city': 'DUBLIN', 'state': 'L2', 'postal_code': 'D2'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFjY2VudHVyZS5jb20/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFjY2VudHVyZS5jb20/images/2022-11-01_icon.jpeg'}",usd,https://www.accenture.com,us,186755700144.0,353-1-646-2000,100,,CS,
ATVI,ATVI,Activision Blizzard Inc.,782630000,782625319,XNAS,0000718877,BBG000CVWGS6,7372,SERVICES-PREPACKAGED SOFTWARE,1993-10-22,9800,stocks,"Activision Blizzard was formed in 2008 by the merger of Activision, one of the largest console video game publishers, and Blizzard, one of largest PC video game publishers. The combined firm remains one of the world's largest video game publishers. Activision's impressive franchise portfolio includes World of Warcraft, which boasts more than $8 billion of lifetime sales, and Call of Duty, which has sold over 175 million copies across 14 titles over 12 years.",True,"{'address1': '2701 OLYMPIC BOULEVARD', 'address2': 'BUILDING B', 'city': 'SANTA MONICA', 'state': 'CA', 'postal_code': '90404'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFjdGl2aXNpb25ibGl6emFyZC5jb20/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFjdGl2aXNpb25ibGl6emFyZC5jb20/images/2022-11-01_icon.png'}",usd,https://www.activisionblizzard.com,us,57499482186.93,(310) 255-2510,100,BBG001S6C009,CS,
ADM,ADM,Archer Daniels Midland Company,549330000,549334227,XNYS,0000007084,BBG000BB6WG8,2070,FATS & OILS,1945-09-10,40739,stocks,"Archer-Daniels Midland is a major processor of oilseeds, corn, wheat, and other agricultural commodities. Additionally, the company owns an extensive network of logistical assets to store and transport crops around the globe. ADM also runs a nutrition business that focuses on both human and animal ingredients. The company is also a large producer of corn-based sweeteners, starches, and ethanol.",True,"{'address1': '77 W. WACKER DR.', 'city': 'CHICAGO', 'state': 'IL', 'postal_code': '60601'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFkbS5jb20/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFkbS5jb20/images/2022-11-01_icon.png'}",usd,https://www.adm.com,us,53505153709.8,312-634-8233,100,BBG001S5ND74,CS,
ADBE,ADBE,Adobe Inc.,464900000,464900000,XNAS,0000796343,BBG000BB5006,7372,SERVICES-PREPACKAGED SOFTWARE,1986-08-20,25988,stocks,"Adobe provides content creation, document management, and digital marketing and advertising software and services to creative professionals and marketers for creating, managing, delivering, measuring, optimizing and engaging with compelling content multiple operating systems, devices and media. The company operates with three segments: digital media content creation, digital experience for marketing solutions, and publishing for legacy products (less than 5% of revenue).",True,"{'address1': '345 PARK AVE', 'city': 'SAN JOSE', 'state': 'CA', 'postal_code': '95110-2704'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFkb2JlLmNvbQ/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFkb2JlLmNvbQ/images/2022-11-01_icon.png'}",usd,https://www.adobe.com,us,155416070000.0,(408) 536-6000,100,BBG001S5NCQ5,CS,
ADP,ADP,Automatic Data Processing,414830000,414827769,XNAS,0000008670,BBG000JG0547,7374,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,1968-01-31,60000,stocks,"ADP is a provider of payroll and human capital management solutions servicing the full scope of businesses from micro to global enterprises. ADP was established in 1949 and serves over 990,000 clients primarily in the United States. ADP's employer services segment offers payroll, HCM solutions, human resources outsourcing, insurance and retirement services. The smaller but faster-growing professional employer organization segment provides HR outsourcing solutions to small and midsize businesses through a co-employment model.",True,"{'address1': 'ONE ADP BOULVARD', 'city': 'ROSELAND', 'state': 'NJ', 'postal_code': '07068'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFkcC5jb20/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFkcC5jb20/images/2022-11-01_icon.jpeg'}",usd,https://www.adp.com,us,109493789627.54999,(973) 974-5000,100,BBG001S82KF6,CS,
AAP,AAP,ADVANCE AUTO PARTS INC,59250000,59253716,XNYS,0001158449,BBG000F7RCJ1,5531,RETAIL-AUTO & HOME SUPPLY STORES,2001-11-29,68000,stocks,"Advance Auto Parts is one of the industry's largest retailers of aftermarket automotive parts, tools, and accessories to do-it-yourself customers and third-party vehicle repair facilities in North America. Advance operated 4,972 stores as of the end of 2021, in addition to servicing 1,317 independently owned Carquest stores. The company's Worldpac unit is a premier distributor of imported original-equipment parts. Advance derived 58% of its 2021 sales from commercial clients, with the remainder from DIY shoppers.",True,"{'address1': '4200 SIX FORKS ROAD', 'city': 'RALEIGH', 'state': 'NC', 'postal_code': '27609'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFkdmFuY2VhdXRvcGFydHMuY29t/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFkdmFuY2VhdXRvcGFydHMuY29t/images/2022-11-01_icon.jpeg'}",usd,https://www.advanceautoparts.com,us,8888057400.0,(540) 362-4911,100,BBG001SD2SB2,CS,
AES,AES,AES Corporation,667950000,667949778,XNYS,0000874761,BBG000C23KJ3,4991,COGENERATION SERVICES & SMALL POWER PRODUCERS,1991-06-27,8450,stocks,"AES is a global power company operating across 14 countries and 4 continents. Its current generation portfolio as of year-end 2021 consists of over 31 gigawatts of generation, with the generation mix composed of renewables (43%), gas (32%), coal (23%), and oil (2%). The company has 3.5 gigawatts of generation under construction. AES has majority ownership and operates six electric utilities distributing power to 2.6 million customers.",True,"{'address1': '4300 WILSON BOULEVARD', 'city': 'ARLINGTON', 'state': 'VA', 'postal_code': '22203'}",{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFlcy5jb20/images/2022-11-01_logo.png'},usd,https://www.aes.com,us,19110043148.579998,(703) 522-1315,100,BBG001S6B1L5,CS,
AFL,AFL,Aflac Inc.,621790000,621788560,XNYS,0000004977,BBG000BBBNC6,6321,ACCIDENT & HEALTH INSURANCE,1974-06-14,12447,stocks,"Aflac Inc offers supplemental health insurance and life insurance in the two largest insurance markets in the world, the U.S. and Japan. In addition to its cancer policies, the company has broadened its product offerings to include accidents, disability, and long-term-care insurance. It markets its products through independent distributors, selling most of its policies directly to consumers at their places of work.",True,"{'address1': '1932 WYNNTON RD', 'city': 'COLUMBUS', 'state': 'GA', 'postal_code': '31999'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFmbGFjLmNvbQ/images/2022-11-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFmbGFjLmNvbQ/images/2022-11-01_icon.png'}",usd,https://www.aflac.com,us,45079670600.0,(706) 323-3431,100,BBG001S5NGJ4,CS,
A,A,Agilent Technologies Inc.,296040000,295000000,XNYS,0001090872,BBG000C2V3D6,3826,LABORATORY ANALYTICAL INSTRUMENTS,1999-11-18,17700,stocks,"Originally spun out of Hewlett-Packard in 1999, Agilent has evolved into a leading life sciences and diagnostics firm. Today, Agilent's measurement technologies serve a broad base of customers with its three operating segments: life science and applied tools, cross lab (consisting of consumables and services related to its life science and applied tools), and diagnostics and genomics. Over half of its sales are generated from the biopharmaceutical, chemical, and advanced materials end markets, but it also supports clinical lab, environmental, forensics, food, academic, and government-related organizations. The company is geographically diverse, with operations in the U.S. and China representing the largest country concentrations.",True,"{'address1': '5301 STEVENS CREEK BLVD', 'city': 'SANTA CLARA', 'state': 'CA', 'postal_code': '95051'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFnaWxlbnQuY29t/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFnaWxlbnQuY29t/images/2022-11-01_icon.jpeg'}",usd,https://www.agilent.com,us,46303200000.0,(408) 345-8886,100,BBG001SCTQY4,CS,
APD,APD,"Air Products & Chemicals, Inc.",221870000,221865971,XNYS,0000002969,BBG000BC4JJ4,2810,INDUSTRIAL INORGANIC CHEMICALS,1961-11-13,21900,stocks,"Since its founding in 1940, Air Products has become one of the leading industrial gas suppliers globally, with operations in 50 countries and 19,000 employees. The company is the largest supplier of hydrogen and helium in the world. It has a unique portfolio serving customers in a number of industries, including chemicals, energy, healthcare, metals, and electronics. Air Products generated $12.7 billion in revenue in fiscal 2022.",True,"{'address1': '1940 AIR PRODUCTS BLVD.', 'city': 'ALLENTOWN', 'state': 'PA', 'postal_code': '18106-5500'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFpcnByb2R1Y3RzLmNvbQ/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFpcnByb2R1Y3RzLmNvbQ/images/2022-11-01_icon.png'}",usd,https://www.airproducts.com,us,68758483072.61,(610) 481-4911,100,BBG001S5NSB6,CS,
AKAM,AKAM,Akamai Technologies Inc,157240000,157242292,XNAS,0001086222,BBG000BJQWD2,7389,"SERVICES-BUSINESS SERVICES, NEC",1999-10-29,8700,stocks,"Akamai operates a content delivery network, or CDN, which entails locating servers at the edges of networks so its customers, which store content on Akamai servers, can reach their own customers faster, more securely, and with better quality. Akamai has over 325,000 servers distributed over 4,000 points of presence in more than 1,000 cities worldwide. Its customers generally include media companies, which stream video content or make video games available for download, and other enterprises that run interactive or high-traffic websites, such as e-commerce firms and financial institutions. Akamai also has a significant security business, which is integrated with its core web and media businesses to protect its customers from cyberthreats.",True,"{'address1': '145 BROADWAY', 'city': 'CAMBRIDGE', 'state': 'MA', 'postal_code': '02142'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFrYW1haS5jb20/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFrYW1haS5jb20/images/2022-11-01_icon.png'}",usd,https://www.akamai.com,us,14548056855.84,(617) 444-3000,100,BBG001S7YHX0,CS,
ALK,ALK,"Alaska Air Group, Inc.",126840000,126837831,XNYS,0000766421,BBG000BBL0Y1,4512,"AIR TRANSPORTATION, SCHEDULED",1983-01-03,22878,stocks,"Alaska Air Group Inc operates two airlines, Alaska and Horizon in three operating segments. The Mainline segment includes scheduled air transportation on Alaska's Boeing and Airbus jet aircraft for passengers and cargo throughout the U.S., and in parts of Mexico, and Costa Rica. The Regional segment includes Horizon's and other third-party carriers' scheduled air transportation for passengers across a shorter distance network within the U.S. and Canada under capacity purchase agreements (CPA). The Horizon segment includes the capacity sold to Alaska under a CPA. It earns revenues from Passenger tickets, including ticket breakage and net of taxes and fees, Passenger ancillary and Mileage Plan passenger revenue.",True,"{'address1': '19300 INTERNATIONAL BOULEVARD', 'city': 'SEATTLE', 'state': 'WA', 'postal_code': '98188'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsYXNrYWFpci5jb20/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsYXNrYWFpci5jb20/images/2022-11-01_icon.png'}",usd,https://www.alaskaair.com,us,5948694273.9,206-392-5040,100,BBG001S5NLG6,CS,
ALB,ALB,Albemarle Corporation,117150000,117152794,XNYS,0000915913,BBG000BJ26K7,2821,"PLASTIC MATERIALS, SYNTH RESINS & NONVULCAN ELASTOMERS",1994-02-22,6000,stocks,"Albemarle is the world's largest lithium producer. Our outlook for robust lithium demand is predicated upon increased demand for electric vehicle batteries. Albemarle produces lithium from its salt brine deposits in Chile and the U.S. and its hard rock joint venture mines in Australia. Albemarle is also a global leader in the production of bromine, used in flame retardants. The company is also a major producer of oil refining catalysts.",True,"{'address1': '4250 CONGRESS STREET', 'address2': 'SUITE 900', 'city': 'CHARLOTTE', 'state': 'NC', 'postal_code': '28209'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsYmVtYXJsZS5jb20/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsYmVtYXJsZS5jb20/images/2022-11-01_icon.jpeg'}",usd,https://www.albemarle.com,us,31961625259.079998,980-299-5700,100,BBG001S7SBP9,CS,
ARE,ARE,"Alexandria Real Estate Equities, Inc.",164090000,164087276,XNYS,0001035443,BBG000BC33T9,6798,REAL ESTATE INVESTMENT TRUSTS,1997-05-28,559,stocks,"Alexandria Real Estate Equities Inc is an urban office real estate investment trust (REIT). It is engaged in the business of providing space for lease to life science, agtech, and technology tenants. The company has established a significant market presence in key locations, including Greater Boston, the San Francisco Bay Area, New York City, San Diego, Seattle, Maryland, and Research Triangle. Alexandria has a longstanding and proven track record of developing Class A properties clustered in urban life science, agtech, and technology campuses that provide tenants with highly dynamic and collaborative environments. Alexandria also provides strategic capital to transformative life science, agtech, and technology companies through venture capital platform.",True,"{'address1': '26 NORTH EUCLID AVENUE', 'city': 'PASADENA', 'state': 'CA', 'postal_code': '91101'}",{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFyZS5jb20/images/2022-11-01_logo.png'},usd,https://www.are.com,us,25289130977.12,(626) 578-0777,100,BBG001S6CPH6,CS,
ALGN,ALGN,Align Technology Inc,78110000,78112351,XNAS,0001097149,BBG000BRNLL2,3842,"ORTHOPEDIC, PROSTHETIC & SURGICAL APPLIANCES & SUPPLIES",2001-01-26,23800,stocks,"Align is the leading manufacturer of clear dental aligners globally, having pioneered the technology with the introduction of its Invisalign branded aligners in 1998. Since then, Invisalign has become a household name, having treated over 10 million patients with malocclusion (misaligned teeth) through orthodontist and dentist-guided treatment plans. The company maintains dominant market share of clear aligners, despite the introduction of direct-to-consumer competitors upon the expiration of key patents that began in 2017. Align also manufactures intraoral scanners (iTero), used for orthodontic treatment and restorative dental procedures (digital models for crowns, veneers, and implants).",True,"{'address1': '410 NORTH SCOTTSDALE ROAD, SUITE 1300', 'city': 'TEMPE', 'state': 'AZ', 'postal_code': '85288'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsaWdudGVjaC5jb20/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsaWdudGVjaC5jb20/images/2022-11-01_icon.jpeg'}",usd,https://www.aligntech.com,us,15206131369.169998,408-470-1000,100,BBG001SCF1B9,CS,
ALLE,ALLE,Allegion Public Limited Company,87850000,87844822,XNYS,0001579241,,7381,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",2013-11-18,11000,stocks,"Allegion is a global security products company with a portfolio of leading brands, such as Schlage, von Duprin, and LCN. The Ireland-domiciled company was created via a spinoff transaction from Ingersoll-Rand in December 2013. In fiscal 2021, Allegion generated 68% of sales in the United States. The company mainly competes with Sweden-based Assa Abloy AB and Switzerland-based Dormakaba.",True,"{'address1': 'BLOCK D IVEAGH COURT', 'address2': 'HARCOURT ROAD', 'city': 'DUBLIN 2', 'state': 'L2', 'postal_code': '00000'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsbGVnaW9uLmNvbQ/images/2022-11-01_logo.png', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsbGVnaW9uLmNvbQ/images/2022-11-01_icon.jpeg'}",usd,https://www.allegion.com,us,10042420051.039999,(317) 810-3700,100,,CS,
LNT,LNT,Alliant Energy Corporation Common Stock,251020000,251021830,XNAS,0000352541,BBG000DW4Q75,4931,ELECTRIC & OTHER SERVICES COMBINED,1972-06-30,3313,stocks,"Alliant Energy is the parent of two regulated utilities, Interstate Power and Light and Wisconsin Power and Light, serving nearly 1 million electricity and natural gas customers and approximately 420,000 natural gas-only customers. Both subsidiaries engage in the generation and distribution of electricity and the distribution and transportation of natural gas. Alliant also owns a 16% interest in American Transmission Co.",True,"{'address1': '4902 NORTH BILTMORE LANE', 'address2': 'SUITE 1000', 'city': 'MADISON', 'state': 'WI', 'postal_code': '53718-2148'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsbGlhbnRlbmVyZ3kuY29t/images/2022-01-10_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsbGlhbnRlbmVyZ3kuY29t/images/2022-01-10_icon.jpeg'}",usd,https://www.alliantenergy.com,us,14170182303.5,608-458-3311,100,BBG001S8ZQ30,CS,
ALL,ALL,The Allstate Corporation,265209999,265209574,XNYS,0000899051,BBG000BVMGF2,6331,"FIRE, MARINE & CASUALTY INSURANCE",1993-06-03,54700,stocks,"On the basis of premium sales, Allstate is one of the largest U.S. property and casualty insurers. Personal auto represents the largest percentage of revenue, but the company offers homeowners insurance and other insurance products. Allstate products are sold in North America primarily by about 10,000 company agencies.",True,"{'address1': '3100 SANDERS ROAD', 'city': 'NORTHBROOK', 'state': 'IL', 'postal_code': '60062'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsbHN0YXRlLmNvbQ/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFsbHN0YXRlLmNvbQ/images/2022-11-01_icon.jpeg'}",usd,https://www.allstate.com,us,35914680511.079994,(847) 402-5000,100,BBG001S9BM06,CS,
GOOGL,GOOG,Alphabet Inc. Class A Common Stock,5973000000,12943000000,XNAS,0001652044,BBG009S39JX6,7370,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",2004-08-19,186779,stocks,"Alphabet is a holding company. Internet media giant Google is a wholly owned subsidiary. Google generates 99% of Alphabet revenue, of which more than 85% is from online ads. Google's other revenue is from sales of apps and content on Google Play and YouTube, as well as cloud service fees and other licensing revenue. Sales of hardware such as Chromebooks, the Pixel smartphone, and smart home products, which include Nest and Google Home, also contribute to other revenue. Alphabet's moonshot investments are in its other bets segment, where it bets on technology to enhance health (Verily), faster internet access to homes (Google Fiber), self-driving cars (Waymo), and more. Alphabet's operating margin has been 25%-30%, with Google at 30% and other bets operating at a loss.",True,"{'address1': '1600 AMPHITHEATRE PARKWAY', 'city': 'MOUNTAIN VIEW', 'state': 'CA', 'postal_code': '94043'}","{'logo_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFiYy54eXo/images/2022-11-01_logo.svg', 'icon_url': 'https://api.polygon.io/v1/reference/company-branding/d3d3LmFiYy54eXo/images/2022-11-01_icon.png'}",usd,https://www.abc.xyz,us,1261424780000.0,650-253-0000,100,BBG009S39JY5,CS,L
