Ticker,Volume,Volume Weighted Avg,Open,Close,High,Low,Timestamp,No. Transactions
MMM,882383.0,129.2532,128.88,129.04,129.82,128.52,1669410000000,17117
AOS,455665.0,61.9155,61.69,61.86,62.2,61.48,1669410000000,6340
ABT,2558110.0,106.9772,106.67,106.96,107.349,106.505,1669410000000,27934
ABBV,1661909.0,159.907,159.59,159.62,160.75,159.2411,1669410000000,29501
ABMD,258929.0,377.6943,377.36,378.08,378.285,377.01,1669410000000,5823
ACN,677924.0,296.4952,294.3,296.4,297.52,294.3,1669410000000,14797
ATVI,9179830.0,73.5519,73.885,73.47,74.27,73.05,1669410000000,76634
ADM,748773.0,97.3159,97.27,97.4,97.55,96.8512,1669410000000,12775
ADBE,1197767.0,333.4917,332.885,334.3,335.51,332.01,1669410000000,25025
ADP,594686.0,264.0059,263.6,263.95,264.935,261.96,1669410000000,14260
AAP,579430.0,149.6375,150.76,150.0,150.78,148.35,1669410000000,12461
AES,1896615.0,28.7698,28.71,28.61,29.105,28.56,1669410000000,18874
AFL,1048083.0,72.5285,72.19,72.5,72.7,72.1,1669410000000,12945
A,642657.0,156.0577,155.09,156.96,156.96,154.71,1669410000000,11670
APD,299656.0,309.9259,308.72,309.91,311.13,307.71,1669410000000,9123
AKAM,381456.0,92.4279,91.82,92.52,92.64,91.81,1669410000000,7180
ALK,484320.0,46.9186,46.25,46.9,47.22,46.25,1669410000000,7984
ALB,1341936.0,270.2995,276.8,272.82,277.68,266.71,1669410000000,33158
ARE,352955.0,153.3851,152.27,154.12,154.35,152.08,1669410000000,6663
ALGN,387805.0,194.3476,194.82,194.67,196.28,190.99,1669410000000,10830
ALLE,192443.0,114.0583,113.42,114.32,114.37,112.58,1669410000000,5438
LNT,337532.0,56.477,56.25,56.45,56.67,56.21,1669410000000,6654
ALL,513838.0,135.0193,134.96,135.42,135.54,134.12,1669410000000,10204
GOOGL,9701441.0,97.7588,98.24,97.46,98.64,97.4,1669410000000,106897
GOOG,8555219.0,97.9261,98.465,97.6,98.94,97.53,1669410000000,79019
MO,2734811.0,44.9007,45.0,44.74,45.1489,44.645,1669410000000,26126
AMZN,35088609.0,93.7731,93.79,93.41,94.43,93.065,1669410000000,297836
AMCR,3198631.0,12.1095,12.13,12.08,12.175,12.06,1669410000000,10692
AMD,26018911.0,75.4426,75.67,75.14,76.0393,74.7495,1669410000000,143369
AEE,350012.0,88.6861,88.49,88.81,88.96,88.38,1669410000000,7336
AAL,9903925.0,14.5716,14.4,14.5,14.7,14.35,1669410000000,32028
